Species,Assay,Extract,Concentration_mg_mL,Exposure_h,Mean_mortality_percent
R. microplus,Adult immersion test,Exudate-DCM,20,48,36.33
R. microplus,Adult immersion test,Exudate-DCM,20,72,64.67
R. microplus,Adult immersion test,Stem bark-DCM,40,24,34.0
R. microplus,Adult immersion test,Stem bark-DCM,40,48,59.67
R. microplus,Adult immersion test,Stem bark-DCM,40,72,84.67
R. microplus,Adult immersion test,Stem bark-MeOH,40,24,26.67
R. microplus,Adult immersion test,Stem bark-MeOH,40,48,41.33
R. microplus,Adult immersion test,Stem bark-MeOH,40,72,66.67
R. microplus,Adult immersion test,Exudate-MeOH,40,24,20.33
R. microplus,Adult immersion test,Exudate-MeOH,40,48,36.33
R. microplus,Adult immersion test,Exudate-MeOH,40,72,59.0
R. microplus,Adult immersion test,Exudate-DCM,40,24,31.0
R. microplus,Adult immersion test,Exudate-DCM,40,48,47.0
R. microplus,Adult immersion test,Exudate-DCM,40,72,75.0
R. microplus,Adult immersion test,Stem bark-DCM,80,24,41.67
R. microplus,Adult immersion test,Stem bark-DCM,80,48,73.0
R. microplus,Adult immersion test,Stem bark-DCM,80,72,100.0
R. microplus,Adult immersion test,Stem bark-MeOH,80,24,31.0
R. microplus,Adult immersion test,Stem bark-MeOH,80,48,55.0
R. microplus,Adult immersion test,Stem bark-MeOH,80,72,88.0
R. microplus,Adult immersion test,Exudate-MeOH,80,24,26.67
R. microplus,Adult immersion test,Exudate-MeOH,80,48,48.0
R. microplus,Adult immersion test,Exudate-MeOH,80,72,83.33
R. microplus,Adult immersion test,Exudate-DCM,80,24,37.0
R. microplus,Adult immersion test,Exudate-DCM,80,48,67.33
R. microplus,Adult immersion test,Exudate-DCM,80,72,93.33
