Species,Assay,Extract,Concentration_mg_mL,Exposure_h,Mean_mortality_percent
R. microplus,Larval immersion test,Exudate-DCM,20,48,48.69
R. microplus,Larval immersion test,Exudate-DCM,20,72,73.42
R. microplus,Larval immersion test,Stem bark-DCM,40,24,45.4
R. microplus,Larval immersion test,Stem bark-DCM,40,48,65.83
R. microplus,Larval immersion test,Stem bark-DCM,40,72,85.71
R. microplus,Larval immersion test,Stem bark-MeOH,40,24,21.16
R. microplus,Larval immersion test,Stem bark-MeOH,40,48,51.95
R. microplus,Larval immersion test,Stem bark-MeOH,40,72,72.08
R. microplus,Larval immersion test,Exudate-MeOH,40,24,14.33
R. microplus,Larval immersion test,Exudate-MeOH,40,48,43.88
R. microplus,Larval immersion test,Exudate-MeOH,40,72,66.48
R. microplus,Larval immersion test,Exudate-DCM,40,24,38.27
R. microplus,Larval immersion test,Exudate-DCM,40,48,53.39
R. microplus,Larval immersion test,Exudate-DCM,40,72,77.5
R. microplus,Larval immersion test,Stem bark-DCM,80,24,51.26
R. microplus,Larval immersion test,Stem bark-DCM,80,48,83.0
R. microplus,Larval immersion test,Stem bark-DCM,80,72,100.0
R. microplus,Larval immersion test,Stem bark-MeOH,80,24,25.46
R. microplus,Larval immersion test,Stem bark-MeOH,80,48,69.27
R. microplus,Larval immersion test,Stem bark-MeOH,80,72,92.11
R. microplus,Larval immersion test,Exudate-MeOH,80,24,18.24
R. microplus,Larval immersion test,Exudate-MeOH,80,48,59.04
R. microplus,Larval immersion test,Exudate-MeOH,80,72,86.75
R. microplus,Larval immersion test,Exudate-DCM,80,24,40.59
R. microplus,Larval immersion test,Exudate-DCM,80,48,81.28
R. microplus,Larval immersion test,Exudate-DCM,80,72,94.44
